hy	hij
aengenaem	aangenaam
wrake	wraak
wijnstock	wijnstok
varren	jonge_stieren
uytlegginge	uitlegging
sultse	zult_ze
spreke	spreek
sikel	sikkel
roock	rook
opwaerts	opwaarts
machtich	machtig
ledich	ledig
lach	lag
jonck	jong
iehizkia	hizkia
hemels-blaeuw	blauwpurperen
grootheyt	grootheid
gezaeyt	gezaaid
genoech	genoeg
doorgaen	doorgaan
daechs	dag
werckt	werkt
wasser	was_er
voorseker	voorzeker
vloden	vloden
socht	zocht
rubens	ruben
reynigen	reinigen
onreyne	onreine
jeucht	jeugd
ingewant	ingewand
hoorende	horende
etet	eet
dreckgoden	stinkgoden
brack	brak
bidde	bid
alwaer	waar
aenbidden	aanbidden
yver	ijver
warender	waren_er
waernemen	waarnemen
vyere	vuur
voortaen	voortaan
vooren	voren
volmaeckt	volmaakt
vogelen	vogelen
verstandich	verstandig
strick	strik
sterve	sterve
smaetheyt	smaadheid
saten	zaten
reucke	geur
outs	ouds
herwaerts	herwaarts
geoordeelt	geoordeeld
verwachtinge	verwachting
versocht	verzocht
verlossinge	verlossing
verkiesen	verkiezen
u-lieden	u
grooter	groter
gevangenisse	gevangenis
getelt	geteld
gesondigt	gezondigd
geseten	gezeten
gaende	gaande
besoecken	bezoeken
altijt	altijd
achabs	achab
visschen	vissen
viere	vier
vergaderden	vergaderden
verbintenisse	verbintenis
t’samen	te_zamen
seïr	seir
sacken	zakken
sabbathen	sabbatten
ruyteren	ruiters
prophete	profeet
oorsake	reden
oorloge	oorlog
monts	mond
kameren	kameren
gemeynten	gemeenten
geleyt	gelegd
eylanden	eilanden
elcke	elke
coninckrijcks	koninkrijks
beginne	beginne
verschrickinge	verschrikking
tucht	vermaning
tachtentich	tachtig
speloncke	grot
speceryen	specerijen
slange	slang
silvers	zilver
salomons	salomo
quaets	kwaads
paulum	paulus
naphtali	naftali
misdaet	misdaad
hoore	hore
hoopen	hopen
hoogen	hogen
hadt	had
getuygenissen	getuigenissen
gelesen	gelezen
chroniken	kronieken
cederen	cederen
bethel	bethel
besnijdenisse	besnijdenis
berderen	planken
balac	balak
uyttrecken	uittrekken
toornich	toornig
tis	is
strate	straat
sinai	sinaï
seste	zesde
poortiers	poortwachters
overgelevert	overgeleverd
most	nieuwe_wijn
melaetscheyt	melaatsheid
hielt	hield
geoffert	geofferd
geheylicht	geheiligd
elende	ellende
eenigen	enigen
dranck	drank
baal	baäl
alsser	als_er
aengenomen	aangenomen
voorspoedich	voorspoedig
verstaet	verstaat
terwijle	terwijl
tegenwoordicheyt	tegenwoordigheid
propheteert	profeteer
neme	neme
naeckt	naakt
maeltijt	maaltijd
lantschappen	gewesten
knechts	dienaar
kloecke	kloeke
inganck	ingang
goude	goud
geloofs	geloofs
eygene	eigen
elcken	elken
eenichsins	enigszins
droefheyt	droefheid
donckerheyt	donkerheid
assche	as
achterwaerts	achterwaarts
zions	sion
weerdigh	waard
versamelde	verzamelde
vernachten	vernachten
vermenichvuldicht	vermenigvuldigd
uytgetogen	uitgetogen
tsal	zal
trocken	trokken
sprekende	sprekende
sprake	spraak
spijsoffer	graanoffer
smerten	smarten
sittende	zittende
ontheyligen	ontheiligen
necke	nek
loopen	lopen
kroone	kroon
kenne	ken
iesaia	jesaja
hoere	hoer
gesegt	gezegd
geboorten	geboorten
cleederen	kleren
cherubim	cherubim
buygen	buigen
bedroch	bedrog
aert	aard
zijnder	zijn_er
vry	vrij
vraeghde	vroeg
uytginck	uitging
sulcks	zulks
stondt	stond
reysden	reisden
rebecca	rebekka
persen	perzië
juychen	juichen
is’t	is_het
ioannem	johannes
heyls	heil
getogen	getogen
geoorloft	geoorloofd
gantscher	heel
fonteyne	bron
een-jarige	eenjarige
d’een	de_een
breucke	breuk
bewaringe	bewaring
bevreest	bevreesd
asaphs	asaf
aen’t	aan
weenen	wenen
vyerige	vurige
volheyt	volheid
verlaet	verlaat
vergaderde	vergaderde
verdruckt	verdrukt
verbondt	verbond
verbaest	verbaasd
twaelve	twaalf
soud	zou
setteden	zetten
reysen	reizen
reuck	geur
petrum	petrus
ontdeckt	ontdekt
ontdecken	ontdekken
nemet	neemt
maechden	maagden
komet	komt
kindeken	kindeken
jare	jaar
ierusalems	jeruzalem
hebb	heb
hant-boomen	draagbomen
geschencken	geschenken
gejuych	gejuich
gedroncken	gedronken
eeuwich	eeuwig
caleb	kaleb
baniere	banier
altemael	altemaal
aengedaen	aangedaan
zeen	zeeën
wonderlick	wonderlijk
vlamme	vlam
verstooten	verstoten
versamelden	verzamelden
vergeldinge	vergelding
uytgestort	uitgestort
uytgaende	uitgaande
t'samen	te_zamen
t	te
sot	dwaas
sondaers	zondaars
sit	zit
samenkomste	ontmoeting
runt	rund
natien	natiën
kruyt	kruid
koopen	kopen
